birth of year,age,2012,2013,2014,2015,2016,2017
2017,0,,,,,,1
2016,1,,,,,0,8
2015,2,,,,4,2,0
2014,3,,,4,9,2,2
2013,4,,54,10,1,0,0
2012,5,10,97,7,1,0,1
2011,6,19,29,2,3,2,0
2010,7,6,29,9,1,0,0
2009,8,3,21,2,1,1,0
2008,9,8,31,1,1,2,0
2007,10,2,22,4,1,1,1
2006,11,4,12,3,0,0,0
2005,12,3,17,0,1,1,0
2004,13,1,16,2,2,0,0
2003,14,2,14,0,0,0,1
2002,15,2,34,0,0,0,0
2001,16,3,44,1,1,1,1
2000,17,7,46,1,0,0,3
1999,18,10,48,1,0,0,2
1998,19,15,54,1,0,1,1
1997,20,6,73,3,0,2,2
1996,21,13,83,1,0,0,1
1995,22,34,119,3,0,1,0
1994,23,31,152,4,0,3,1
1993,24,41,203,1,2,3,0
1992,25,36,198,1,1,0,0
1991,26,43,210,4,2,1,1
1990,27,43,323,4,1,0,0
1989,28,63,302,4,2,4,0
1988,29,48,256,3,2,1,1
1987,30,56,285,2,1,2,2
1986,31,46,289,7,0,1,1
1985,32,68,300,1,4,1,0
1984,33,50,261,7,1,3,0
1983,34,37,281,2,2,2,1
1982,35,39,234,2,0,3,1
1981,36,57,302,8,5,2,0
1980,37,58,427,3,5,1,1
1979,38,72,425,6,4,1,2
1978,39,79,446,5,4,1,2
1977,40,74,420,5,2,2,1
1976,41,55,391,6,4,3,1
1975,42,48,431,1,1,0,1
1974,43,66,426,6,2,3,1
1973,44,52,398,3,6,2,0
1972,45,80,340,3,3,0,1
1971,46,58,302,9,1,1,0
1970,47,25,279,5,2,1,3
1969,48,37,261,6,3,0,1
1968,49,42,256,2,3,2,0
1967,50,42,200,6,2,2,4
1966,51,28,204,3,1,1,4
1965,52,26,202,2,1,0,0
1964,53,19,138,3,1,1,1
1963,54,19,141,4,2,0,1
1962,55,,141,1,0,0,0
1961,56,,113,3,0,2,1
1960,57,,90,0,0,0,0
1959,58,,75,4,0,0,0
1958,59,,75,0,0,1,0
1957,60,,64,3,3,1,3
1956,61,,50,0,1,0,0
1955,62,,56,0,0,1,0
1954,63,,38,0,0,0,0
1953,64,,29,0,0,0,0
1952,65,,24,1,1,0,0
1951,66,,23,0,1,0,0
1950,67,,18,0,0,1,0
1949,68,,16,1,1,1,0
1948,69,,16,0,0,0,0
1947,,,13,0,0,0,
1946,,,1,0,0,,
1945,,,2,1,,,
1944,,,3,,,,
,-50,85,,,,,
,-70,,12,1,3,3,0
,,1771,10985,198,106,73,60
